Sl_No,Slide_No,District,Location,Latitude,Longitude,Material_Involved,Movement,History,Elevation_m,Slope_deg,Rainfall_2023_mm,Rainfall_Dates_2023
5230,HP/BIL/53A15/2015/269,Bilaspur,,31.401417,76.801417,Debris,Slide,2015,554.3438110351562,27.294918751556786,,
5231,HP/SHI/53E15/2016/16,Shimla,Near Punar - Jogni road,31.4017,77.7824,Rock            Slide,,,2170.496826171875,21.282322759537152,,
5232,HP/SHI/53E15/2016/11,Shimla,Near Punar-pat foot track,31.4023,77.7834,Rock            Slide,,,2183.581298828125,36.81556443098865,,
5233,HP/SHI/53E15/2016/110,Shimla,Near Jogni - Punar road,31.4023,77.7838,Rock            Slide,,,2168.430908203125,40.8843694125005,,
5234,HP/MAN/53E03/2015/207,Mandi,,31.402306,77.047778,Debris          Slide,,,1915.8416748046875,27.654202683141527,,
5235,HP/SHI/53E15/2016/112,Shimla,Near Jogni - Punar road,31.4025,77.7705,Rock            Fall,,,2056.751953125,69.80677848504365,,
5236,HP/SHI/53E15/2016/15,Shimla,Near Punar - Jogni road,31.4025,77.7847,Rock            Slide,,,2176.165283203125,52.42622451915165,,
5237,HP/MAN/53E03/2015/267,Mandi,,31.402583,77.160722,Debris,Slide,2015,1836.7318115234375,42.06934010733045,,
5238,HP/SHI/53E15/2016/113,Shimla,Near Jogni - Punar road,31.4028,77.7714,Rock            Fall,,,1993.1180419921875,70.63533238105398,,
5239,HP/SHI/53E15/2016/114,Shimla,Near Jogni - Punar road,31.4029,77.7717,Rock            Fall,,,1947.423583984375,65.03597067157368,,
5240,HP/SHI/53E15/2016/56,Shimla,Pat - Punar track,31.403,77.7945,Debris          Slide,,,2252.299072265625,44.01716033008387,,
5241,HP/SHI/53E15/2016/122,Shimla,Punar - Pat track,31.403,77.7961,Rock            Slide,,,2252.8681640625,38.50076408849086,,
5242,HP/SHI/53E15/2016/136,Shimla,Near Munish - Punar Link road,31.4032,77.7722,Rock            Slide,,,1983.3470458984375,65.85988297698046,,
5243,HP/SHI/53E15/2016/14,Shimla,Punar - Jogni road,31.4033,77.7869,Rock            Slide,,,2171.6748046875,59.37140414396432,,
5244,HP/SHI/53E11/2016/51,Shimla,"Nogli, NH05",31.403528,77.632861,Debris          Slide,,,922.8527221679688,20.59228445765062,,
5245,HP/MAN/53E03/2015/123,Mandi,,31.403639,77.144667,Debris          Slide,,,1811.849853515625,31.283196012269148,,
5246,HP/MAN/53E03/2015/121,Mandi,,31.403944,77.14825,Debris          Slide,,,1842.806396484375,21.794915135786763,,
5247,HP/KUL/53E07/2016/33,Kullu,"ANI,NH-305",31.404009,77.413987,Rock            Slide,,,1883.745849609375,37.6663115327273,,
5248,HP/MAN/53E07/2016/19,Mandi,Sundru,31.404111,77.272167,Rock            Slide,,,2057.76953125,25.072743754986565,,
5249,HP/BIL/53A07/2018/20,Bilaspur,Nangal-NainaDevi road,31.404214,76.401625,Debris          Slide,,,394.100341796875,14.385691259019628,,
5250,HP/BIL/53A07/2018/5,Bilaspur,Nangal-Naina Devi road,31.404324,76.404011,Rock            Slide,,,406.9198913574219,20.234219661510036,,
5251,HP/BIL/53A07/2018/21,Bilaspur,Nangal-Naina Devi road,31.404336,76.402316,Debris          Slide,,,408.09906005859375,29.699821320182764,,
5252,HP/MAN/53A15/2015/90,Mandi,,31.404398,76.87614,Debris          Slide,,,589.8074951171875,29.391015350166153,,
5253,HP/SHI/53E11/2016/2,Shimla,Darsa,31.404628,77.680134,Debris,Slide,1983,1819.054931640625,27.831833099326175,,
5254,HP/MAN/53E03/2015/250,Mandi,,31.40475,77.090778,Rock            Slide,,,2068.453369140625,27.091826113717616,,
5255,HP/MAN/53E03/2015/268,Mandi,,31.404889,77.098056,Debris          Slide,,,1925.072509765625,28.49564362137101,,
5256,HP/BIL/53A07/2018/13,Bilaspur,Near Bhakra Dam,31.405,76.429549,Rock            Slide,,,439.2984924316406,36.67715124891271,,
5257,HP/SHI/53E15/2016/121,Shimla,Jogni - Munish road,31.4052,77.7536,Debris          Slide,,,1957.9403076171875,32.212949479940946,,
5258,HP/SHI/53E15/2016/111,Shimla,Near Jogni - Punar road,31.4053,77.7752,Rock            Fall,,,2163.318359375,50.54724911031563,,
5259,HP/SHI/53E15/2016/13,Shimla,Punar - Jogni road,31.4054,77.7749,Rock            Slide,,,2149.471923828125,56.245378523522895,,
5260,HP/SHI/53E15/2016/135,Shimla,Near Munish - Punar Link road,31.4054,77.7741,Rock            Slide,,,2154.8017578125,53.6063478700489,,
5261,HP/SHI/53E15/2016/57,Shimla,Pat - Punar track,31.4055,77.8015,Debris          Slide,,,2253.94921875,21.180682206743743,,
5262,HP/MAN/53E03/2015/251,Mandi,,31.405528,77.093722,Rock            Slide,,,2071.3828125,35.88498351778044,,
5263,HP/BIL/53A07/2018/3,Bilaspur,Nangal-Naina Devi road,31.405531,76.427294,Debris          Slide,,,431.36907958984375,36.30548888905698,,
5264,HP/SHI/53E15/2016/124,Shimla,Jogni - Munish road,31.4058,77.7554,Debris          Slide,,,1922.3489990234375,33.32775579916583,,
5265,HP/BIL/53A07/2018/6,Bilaspur,Nangal-Naina Devi road,31.405972,76.405216,Debris          Slide,,,416.7576599121094,16.53732574457511,,
5266,HP/SHI/53E15/2016/119,Shimla,Munish - Jogni road,31.406,77.7573,Debris          Slide,,,1890.45458984375,43.39034616024593,,
