Sl_No,Slide_No,District,Location,Latitude,Longitude,Material_Involved,Movement,History
7970,HP/CHA/52D07/2020/14,Chamba,Trela village,32.49,76.44,Debris          Slide,NA,
7971,HP/CHA/52D07/2020/28,Chamba,Thala village,32.49,76.45,Debris          Slide,NA,
7972,HP/CHA/52D07/2020/29,Chamba,Thala link road,32.49,76.44,Rock            Slide,NA,
7973,HP/CHA/52D07/2020/30,Chamba,Sulia link road,32.49,76.44,Rock            Fall,NA,
7974,HP/CHA/52D07/2020/42,Chamba,Batot link road,32.49,76.35,Rock            Slide,NA,
7975,HP/CHA/52D07/2020/75,Chamba,Batot link road,32.49,76.35,Rock            Slide,NA,
7976,HP/CHA/52D07/2020/78,Chamba,Batot link road,32.49,76.35,Rock            Slide,NA,
7977,HP/CHA/52D07/2020/88,Chamba,Right bank of braguna nala,32.49,76.28,Rock            Slide,NA,
7978,HP/CHA/52D07/2020/102,Chamba,Left bank of braguna nala,32.49,76.28,Debris          Slide,NA,
7979,HP/LAH/52H03/2015/16,Lahaul & Spiti,Koksar-Keylong NH21,32.4919,77.0936,Debris          Slide,NA,
7980,HP/LAH/52H03/2015/17,Lahaul & Spiti,Koksar-Keylong NH21,32.4919,77.0936,Rock            Topple,NA,
7981,HP/CHA/43P15/2020/48,Chamba,Balera village,32.5,75.94,Debris,Slide,2015
7982,HP/CHA/52D02/2020/21,Chamba,"Dalghana,NH-154A",32.5,76.17,Rock            Slide,NA,
7983,HP/CHA/52D02/2020/22,Chamba,Dalghana,32.5,76.17,Debris          Slide,NA,
7984,HP/CHA/52D07/2020/59,Chamba,Left bank of ravi river,32.5,76.48,Debris          Slide,NA,
7985,HP/CHA/52D07/2020/74,Chamba,Left bank of Beli nala,32.5,76.36,Rock            Slide,NA,
7986,HP/CHA/52D07/2020/76,Chamba,Left bank of Beli nala,32.5,76.35,Rock            Slide,NA,
7987,HP/LAH/52H03/2015/15,Lahaul & Spiti,Koksar-Keylong NH21,32.5013,77.0621,Debris          Slide,NA,
7988,HP/CHA/43P14/2017/13,Chamba,,32.501779,75.922098,Debris          Slide,NA,
7989,HP/CHA/43P14/2017/56,Chamba,,32.503185,75.982304,Rock            Slide,NA,
7990,HP/CHA/43P14/2017/43,Chamba,,32.5042,75.979277,Rock            Slide,NA,
7991,HP/CHA/43P14/2017/3,Chamba,,32.504268,75.986248,Rock            Slide,NA,
7992,HP/CHA/43P14/2017/10,Chamba,,32.504681,75.985554,Rock            Slide,NA,
7993,HP/CHA/43P14/2017/20,Chamba,,32.506146,75.975698,Rock            Slide,NA,
7994,HP/CHA/43P14/2017/4,Chamba,,32.507371,75.920011,Rock            Slide,NA,
7995,HP/CHA/43P14/2017/18,Chamba,,32.507581,75.918692,Rock            Slide,NA,
7996,HP/CHA/43P14/2017/16,Chamba,,32.508189,75.921616,Debris          Slide,NA,
7997,HP/CHA/43P14/2017/30,Chamba,,32.508361,75.92219,Debris          Slide,NA,
7998,HP/CHA/43P14/2017/54,Chamba,,32.508655,75.977994,Rock            Slide,NA,
7999,HP/CHA/43P14/2017/52,Chamba,,32.508677,75.921207,Debris          Slide,NA,
8000,HP/CHA/52D02/2020/18,Chamba,South of Karian Village,32.51,76.15,Debris          Slide,NA,
8001,HP/CHA/52D02/2020/20,Chamba,"Bandri,NH-154A",32.51,76.18,Debris          Slide,NA,
8002,HP/CHA/43P14/2017/40,Chamba,,32.511499,75.924982,Debris          Slide,NA,
8003,HP/CHA/52D02/2020/17,Chamba,South of Karian Village,32.52,76.15,Debris          Slide,NA,
8004,HP/CHA/52D02/2020/19,Chamba,"south of Karian Village,NH-154A",32.52,76.15,Debris          Slide,NA,
8005,HP/CHA/52D02/2020/125,Chamba,"Get,SH-43",32.52,76.07,Debris          Slide,NA,
8006,HP/CHA/52D02/2020/135,Chamba,Rakhila,32.52,76.06,Rock            Slide,NA,
8007,HP/CHA/43P14/2017/17,Chamba,,32.521658,75.927372,Debris          Slide,NA,
8008,HP/CHA/43P14/2017/36,Chamba,,32.524066,75.928682,Debris          Slide,NA,
8009,HP/CHA/43P14/2017/28,Chamba,,32.524745,75.971756,Rock            Slide,NA,
8010,HP/CHA/52D02/2020/16,Chamba,"Karian,NH-154A",32.53,76.15,Rock            Slide,NA,
8011,HP/CHA/52D02/2020/27,Chamba,Karian,32.53,76.14,Debris          Slide,NA,
8012,HP/CHA/52D02/2020/92,Chamba,North of Get,32.53,76.08,Rock            Slide,NA,
8013,HP/CHA/52D02/2020/99,Chamba,Get,32.53,76.07,Rock            Slide,NA,
8014,HP/CHA/52D02/2020/102,Chamba,Kuphara P.F,32.53,76.13,Debris          Slide,NA,
8015,HP/CHA/52D02/2020/106,Chamba,Karian,32.53,76.14,Debris          Slide,NA,
8016,HP/CHA/52D02/2020/103,Chamba,"Hather,SH-43",32.54,76.12,Rock            Slide,NA,
8017,HP/CHA/52D02/2020/114,Chamba,"Kol,SH-43",32.54,76.11,Rock            Slide,NA,
8018,HP/CHA/52D02/2020/43,Chamba,west of Ludu,32.55,76.14,Debris          Slide,NA,
8019,HP/CHA/52D02/2020/44,Chamba,"Mangla slide Near Mangla Nala,Chamba-",32.55,76.11,Debris          Slide,NA,
8020,HP/CHA/52D02/2020/66,Chamba,"Chamba bus stand subsidence Chamba Bus Stand,NH 154A",32.55,76.12,Debris,Subsidence,2019
8021,HP/CHA/52D02/2020/75,Chamba,ludu,32.55,76.14,Debris          Slide,NA,
8022,HP/CHA/52D02/2020/76,Chamba,south of Chakhla,32.55,76.15,Debris          Slide,NA,
8023,HP/CHA/52D02/2020/108,Chamba,Chamba bridge subsidence Near Chamba Bus,32.55,76.12,Debris,Slide,2018
8024,HP/CHA/52D06/2020/27,Chamba,Left bank of Kiri nala,32.55,76.25,Rock            Slide,NA,
8025,HP/CHA/52D02/2020/42,Chamba,,32.56,76.14,Debris          Slide,NA,
8026,HP/CHA/52D02/2020/78,Chamba,"Chamba, Near suspension",32.56,76.12,Rock,Slide,2008
8027,HP/CHA/52D06/2020/2,Chamba,Neari Kiri village,32.56,76.26,Rock            Slide,NA,
8028,HP/CHA/52D06/2020/34,Chamba,Near Kiri village,32.56,76.26,Rock            Slide,NA,
8029,HP/CHA/43P14/2017/57,Chamba,,32.563291,75.894672,Rock            Slide,NA,
8030,HP/CHA/43P14/2017/8,Chamba,,32.565425,75.891553,Rock            Slide,NA,
8031,HP/CHA/43P14/2017/5,Chamba,,32.568546,75.98333,Rock            Slide,NA,
8032,HP/CHA/52D02/2020/45,Chamba,Badhala,32.57,76.07,Debris          Slide,NA,
8033,HP/CHA/52D02/2020/51,Chamba,Pangoda,32.57,76.07,Debris          Slide,NA,
8034,HP/CHA/52D02/2020/52,Chamba,Pangoda,32.57,76.07,Debris          Slide,NA,
8035,HP/CHA/52D02/2020/81,Chamba,Ludrera,32.57,76.14,Rock            Slide,NA,
8036,HP/CHA/52D02/2020/117,Chamba,"Rathangarh slide Rathangarh, Sultanpur,Sarol",32.57,76.12,Debris,Slide,2013
8037,HP/CHA/52D06/2020/25,Chamba,Left bank of Kiri Nala,32.57,76.25,Rock            Slide,NA,
8038,HP/CHA/43P14/2017/47,Chamba,,32.578181,75.90204,Rock            Slide,NA,
8039,HP/CHA/43P14/2017/42,Chamba,,32.578919,75.939933,Debris          Slide,NA,
8040,HP/CHA/43P14/2017/14,Chamba,,32.579417,75.938467,Debris          Slide,NA,
8041,HP/CHA/43P14/2017/29,Chamba,,32.579572,75.90054,Rock            Slide,NA,
8042,HP/CHA/43P14/2017/11,Chamba,,32.579987,75.901499,Rock            Slide,NA,
8043,HP/CHA/52D02/2020/36,Chamba,"Tara,NH-154A",32.58,76.1,Debris          Slide,NA,
8044,HP/CHA/52D02/2020/37,Chamba,"Near Chambi Village,NH-154A",32.58,76.11,Debris          Slide,NA,
8045,HP/CHA/52D02/2020/38,Chamba,"Chambi slide Chambi,NH-154A",32.58,76.11,Rock,Slide,1990
8046,HP/CHA/52D02/2020/39,Chamba,"Chambi subsidence Chambi,NH 154A",32.58,76.11,Debris,Slide,2016
8047,HP/CHA/52D02/2020/50,Chamba,Singhi,32.58,76.07,Debris          Slide,NA,
8048,HP/CHA/52D02/2020/82,Chamba,Ludrera,32.58,76.14,Rock,Slide,2003
8049,HP/CHA/52D02/2020/83,Chamba,Ludrera,32.58,76.15,Debris          Slide,NA,
8050,HP/CHA/52D02/2020/89,Chamba,Ganji,32.58,76.23,Debris          Slide,NA,
8051,HP/CHA/52D02/2020/90,Chamba,Ganji,32.58,76.23,Debris          Slide,NA,
8052,HP/CHA/52D02/2020/91,Chamba,Singhi P.F,32.58,76.06,Rock            Slide,NA,
8053,HP/CHA/52D02/2020/98,Chamba,Sanaul,32.58,76.23,Debris          Slide,NA,
8054,HP/CHA/52D02/2020/112,Chamba,Sanaul,32.58,76.23,Debris          Slide,NA,
8055,HP/CHA/52D02/2020/115,Chamba,Singhi P.F,32.58,76.06,Rock            Slide,NA,
8056,HP/CHA/43P14/2017/2,Chamba,,32.580869,75.899736,Rock            Slide,NA,
8057,HP/CHA/43P14/2017/1,Chamba,,32.580891,75.976923,Debris          Slide,NA,
8058,HP/CHA/43P14/2017/51,Chamba,,32.581996,75.974083,Debris          Slide,NA,
8059,HP/CHA/43P14/2017/6,Chamba,,32.582235,75.899427,Debris          Slide,NA,
