State,District,Latitude,Longitude,slope_deg,rainfall_mm,soil_moisture_mm,label
Assam,Dima Hasao,25.137,93.04,5.9,10.04508197,0.44445082,1
Assam,Dima Hasao,25.137,93.034,8.33,10.04508197,0.44445082,1
Assam,Dima Hasao,25.137,93.04,5.9,10.04508197,0.44445082,1
Assam,Dima Hasao,25.137,93.018,8.53,10.04508197,0.44445082,1
Assam,Dima Hasao,25.139,93.025,4.11,10.04508197,0.44445082,1
Assam,Dima Hasao,25.139,93.04,2.16,10.04508197,0.44445082,1
Assam,Dima Hasao,25.139611,93.019556,11.43,10.10081967,0.443344604,1
Assam,Dima Hasao,25.140417,93.020389,11.38,10.04508197,0.44445082,1
Assam,Dima Hasao,25.142,93.04,4.32,10.04508197,0.44445082,1
Assam,Dima Hasao,25.142,93.04,4.32,10.04508197,0.44445082,1
Assam,Kamrup (Metro),26.18789,91.79493,0.21,12.09590164,0.48713627,1
Assam,Dima Hasao,25.17136,93.01102,2.93,7.119672131,0.457205601,1
Assam,Dima Hasao,25.169861,93.002528,0.93,7.119672131,0.457205601,1
Assam,Dima Hasao,25.18972,93.02011,5.54,7.119672131,0.457205601,1
Assam,Dima Hasao,25.18625,93.01629,3.65,7.119672131,0.457205601,1
Assam,Dima Hasao,25.177416,93.00975,0.05,7.119672131,0.457205601,1
Assam,Dima Hasao,25.2316944,93.1614167,2.78,6.663934426,0.43768306,1
Assam,West Karbi Anglong,25.91406,92.49897,4.32,15.54262295,0.49228347,1
Assam,West Karbi Anglong,25.91422,92.49972,2.47,15.54262295,0.49228347,1
Assam,West Karbi Anglong,25.95478,92.51386,4.37,15,0.493295082,1
Assam,West Karbi Anglong,25.95317,92.51353,4.98,15,0.493295082,1
Assam,Kamrup (Metro),26.10591667,91.62283333,0.05,11.13442623,0.482694331,1
Assam,Kamrup (Metro),26.11464,91.83886,2.52,15.05983607,0.474773907,1
Assam,Dima Hasao,25.32069444,93.12733333,3.09,6.972131148,0.454717555,1
Assam,Kamrup (Metro),26.17755556,91.76588889,0.21,15.68606557,0.496560792,1
Arunachal Pradesh,Papum Pare,27.121136,93.762164,3.96,8.190163934,0.360881489,1
Arunachal Pradesh,Lower Dibang Valley,28.38919722,95.92776111,29.12,18.32459016,0.405365437,1
Assam,Dima Hasao,25.14525,93.029167,0.82,10.10081967,0.443344604,1
Assam,Dima Hasao,25.145861,93.024194,6.91,10.10081967,0.443344604,1
Assam,Dima Hasao,25.146306,93.942167,15.8,12.34344262,0.48985485,1
Assam,Dima Hasao,25.146778,93.030972,0.05,10.10081967,0.443344604,1
Assam,Dima Hasao,25.148722,93.031917,3.96,10.10081967,0.443344604,1
Assam,Dima Hasao,25.150694,93.025833,7.98,10.10081967,0.476209699,1
Assam,Dima Hasao,25.155,93.067,0.31,10.04508197,0.478105533,1
Assam,Dima Hasao,25.155,93.067,0.31,10.04508197,0.478105533,1
Assam,Dima Hasao,25.155,93.073,1.6,10.04508197,0.478105533,1
Assam,Dima Hasao,25.155611,93.022222,1.54,10.10081967,0.476209699,1
Assam,Dima Hasao,25.155722,93.022778,1.39,10.10081967,0.476209699,1
Assam,Dima Hasao,25.156,93.018,3.34,10.04508197,0.477334016,1
Assam,Dima Hasao,25.156389,93.018389,3.03,10.10081967,0.476209699,1
Assam,Dima Hasao,25.156694,93.017667,0.1,11.83114754,0.480540642,1
Assam,Dima Hasao,25.157,93.062,0.46,10.04508197,0.478105533,1
Assam,Dima Hasao,25.157,93.066,0.57,10.04508197,0.478105533,1
Assam,Dima Hasao,25.157139,93.017194,0.21,10.10081967,0.476209699,1
Assam,Dima Hasao,25.157361,93.016083,0.93,10.10081967,0.476209699,1
Assam,Dima Hasao,25.159333,93.017,0.21,10.10081967,0.476209699,1
Assam,Dima Hasao,25.163444,93.023167,3.6,10.10081967,0.476209699,1
Assam,Dima Hasao,25.164,93.040194,7.47,10.10081967,0.476209699,1
Assam,Dima Hasao,25.165639,93.025444,2.93,10.10081967,0.476209699,1
Assam,Dima Hasao,25.171889,93.003944,0.41,10.10081967,0.476209699,1
Assam,Dima Hasao,25.175056,93.020417,3.6,10.10081967,0.476209699,1
Assam,Dima Hasao,25.175972,93.020167,3.29,10.10081967,0.476209699,1
Arunachal Pradesh,Papum Pare,27.105253,93.825399,3.65,10.65163934,0.384178962,1
Arunachal Pradesh,Papum Pare,27.121136,93.762164,3.96,8.190163934,0.360881489,1
Assam,Dima Hasao,25.176389,93.116139,0.51,10.10081967,0.477033128,1
Assam,Dima Hasao,25.176917,93.026556,4.83,10.04508197,0.477334016,1
Assam,Dima Hasao,25.177028,93.020889,3.55,10.10081967,0.476209699,1
Assam,Dima Hasao,25.1775,93.026222,7.37,10.04508197,0.477334016,1
Assam,Dima Hasao,25.179861,93.070778,10.09,10.10081967,0.477033128,1
Assam,Dima Hasao,25.184528,93.125639,2.57,8.201639344,0.477033128,1
Assam,Dima Hasao,25.186,93.104,2.26,10.04508197,0.478105533,1
Assam,Dima Hasao,25.18725,93.120556,2.37,10.10081967,0.477033128,1
Assam,Dima Hasao,25.188,93.066,7.62,10.04508197,0.478105533,1
Assam,Dima Hasao,25.188444,93.019667,5.13,10.10081967,0.476209699,1
Assam,Dima Hasao,25.201,93.122,0.77,10.04508197,0.478105533,1
Assam,Dima Hasao,25.204556,93.138889,4.72,8.201639344,0.477033128,1
Assam,Kamrup (Metro),26.17672222,91.76525,0.05,15.68606557,0.496560792,1
Assam,Kamrup (Metro),26.15427778,91.79263889,3.29,15.68606557,0.496560792,1
Assam,Kamrup (Metro),26.15477778,91.77411111,3.75,18.6204918,0.474885587,1
Assam,Kamrup (Metro),26.17672222,91.78672222,0.67,18.6204918,0.474885587,1
